No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
1,Fighter Hall,96,74,22.9%,Rp1.760.000,Rp60.000 - Rp100.000
2,Homeground Padel Kedoya,60,33,45.0%,Rp4.497.000,Rp99.000 - Rp200.000
3,Avion Sports Center,128,102,20.3%,Rp12.920.000,Rp180.000 - Rp1.000.000
4,Sunday Padel - Meruya,75,50,33.3%,Rp3.775.000,Rp99.000 - Rp199.000
5,Homeground Padel Premiere Kedoya,30,17,43.3%,Rp2.750.000,Rp150.000 - Rp250.000
6,Orange Garden Padel Club,56,35,37.5%,Rp2.848.000,Rp88.000 - Rp188.000
7,Westside Padel,56,25,55.4%,Rp6.845.000,Rp195.000 - Rp275.000
8,Padel One Club,60,34,43.3%,Rp7.150.000,Rp275.000
9,EZ Padel Tomang,64,44,31.2%,Rp6.175.984,Rp148.000 - Rp348.999
10,Max Padel,96,73,24.0%,Rp6.100.000,Rp125.000 - Rp300.000
11,The Citadel,84,56,33.3%,Rp8.510.000,Rp230.000 - Rp330.000
12,Padel at largo - Kedoya,45,32,28.9%,Rp2.950.000,Rp150.000 - Rp250.000
13,Vlocity Arena,160,121,24.4%,Rp9.769.000,Rp78.000 - Rp330.000
14,Boss Padel - Kedoya,80,71,11.2%,Rp1.600.000,Rp100.000 - Rp350.000
15,Juego Padel Club (JPC),105,87,17.1%,Rp4.416.000,Rp160.000 - Rp350.000
16,Stone Padel - Citra Garden City,64,50,21.9%,Rp2.000.000,Rp100.000 - Rp200.000
17,Daily Court,90,73,18.9%,Rp3.040.000,Rp100.000 - Rp210.000
18,River Padel,42,39,7.1%,Rp450.000,Rp150.000 - Rp219.000
19,KSC Racquet Club,120,65,45.8%,Rp15.390.000,Rp100.000 - Rp305.000
20,Anwa Racquet Privé (ex Anwa Tennis Club),140,109,22.1%,Rp8.975.000,Rp199.000 - Rp300.000
21,Padel Spot,90,71,21.1%,Rp3.600.000,Rp150.000 - Rp200.000
22,IPC Padel Club Kedoya,128,89,30.5%,Rp7.200.000,Rp150.000 - Rp200.000
23,Badel Padel,64,58,9.4%,Rp1.770.000,Rp125.000 - Rp295.000
24,Base Padel,45,34,24.4%,Rp2.250.000,Rp150.000 - Rp225.000
25,Patra Padel House,13,13,0.0%,Rp0,Rp125.000 - Rp200.000
26,Terra Padel Court,32,28,12.5%,Rp396.000,Rp99.000 - Rp199.000
27,Tinny Padel,14,5,64.3%,Rp1.125.000,Rp125.000 - Rp188.000
28,Kobana Padel,48,38,20.8%,Rp2.320.000,Rp200.000 - Rp240.000
29,Padelgrounds,60,50,16.7%,Rp1.798.000,Rp99.000 - Rp200.000
30,Glass House Padel,42,31,26.2%,Rp3.029.000,Rp90.000 - Rp288.000
31,Sini Padel Court,75,54,28.0%,Rp3.814.000,Rp98.000 - Rp200.000
32,Xcite Padel,60,39,35.0%,Rp4.340.000,Rp160.000 - Rp230.000
33,Hobi Padel Meruya,64,35,45.3%,Rp3.682.000,Rp98.000 - Rp148.000
34,The Padel Point,60,36,40.0%,Rp4.800.000,Rp150.000 - Rp250.000
35,RacketGo Citra 5,64,26,59.4%,Rp5.855.000,Rp125.000 - Rp190.000
36,La Chiquita Padel,28,20,28.6%,Rp2.400.000,Rp200.000 - Rp300.000
37,Padre Padel Duri Kosambi,64,54,15.6%,Rp1.980.000,Rp150.000 - Rp210.000
38,Padeloo,48,42,12.5%,Rp1.170.000,Rp99.000 - Rp195.000
