slot_key,venue_id,venue_name,field_id,field_name,date,time_slot,price,status
2110_4356_23:00,2110,Hobi Padel Meruya,4356,Court 1,2026-09-04,23:00 - 00:00,98000,Booked
2110_6157_23:00,2110,Hobi Padel Meruya,6157,Court 2,2026-09-04,23:00 - 00:00,98000,Available
2110_6158_23:00,2110,Hobi Padel Meruya,6158,Court 3,2026-09-04,23:00 - 00:00,98000,Available
2110_6159_23:00,2110,Hobi Padel Meruya,6159,Court 4,2026-09-04,23:00 - 00:00,98000,Available
3358_8176_23:00,3358,Kaia Padel Reserve,8176,Court A (Green),2026-09-04,23:00 - 00:00,100000,Available
3358_8193_23:00,3358,Kaia Padel Reserve,8193,Court B (Terracotta),2026-09-04,23:00 - 00:00,100000,Available
3358_8194_23:00,3358,Kaia Padel Reserve,8194,Court C (Green),2026-09-04,23:00 - 00:00,100000,Available
3358_8195_23:00,3358,Kaia Padel Reserve,8195,Court D (Terracotta),2026-09-04,23:00 - 00:00,100000,Available
3358_8196_23:00,3358,Kaia Padel Reserve,8196,Court E (Green),2026-09-04,23:00 - 00:00,100000,Available
2415_5095_23:00,2415,Padelin,5095,Court 1,2026-09-04,23:00 - 00:00,100000,Available
2415_7551_23:00,2415,Padelin,7551,Court 2,2026-09-04,23:00 - 00:00,100000,Available
2415_7552_23:00,2415,Padelin,7552,Court 3,2026-09-04,23:00 - 00:00,100000,Available
3308_8017_23:00,3308,Angke Padel,8017,Court A,2026-09-04,23:00 - 00:00,100000,Available
3308_8333_23:00,3308,Angke Padel,8333,Court B,2026-09-04,23:00 - 00:00,100000,Available
3308_8334_23:00,3308,Angke Padel,8334,Court C,2026-09-04,23:00 - 00:00,100000,Available
3308_8335_23:00,3308,Angke Padel,8335,Court D,2026-09-04,23:00 - 00:00,100000,Available
3308_8336_23:00,3308,Angke Padel,8336,Court E,2026-09-04,23:00 - 00:00,100000,Available
3308_8337_23:00,3308,Angke Padel,8337,Court F,2026-09-04,23:00 - 00:00,100000,Available
3232_8048_23:00,3232,Powerhouse Padel AZURE Taman Surya,8048,Court A,2026-09-04,23:00 - 00:00,75000,Booked
3232_8132_23:00,3232,Powerhouse Padel AZURE Taman Surya,8132,Court B,2026-09-04,23:00 - 00:00,75000,Available
3232_8133_23:00,3232,Powerhouse Padel AZURE Taman Surya,8133,Court C,2026-09-04,23:00 - 00:00,75000,Available
3232_8134_23:00,3232,Powerhouse Padel AZURE Taman Surya,8134,Court D,2026-09-04,23:00 - 00:00,75000,Available
3416_8364_23:00,3416,Cosmo Padel,8364,Court 1,2026-09-04,23:00 - 00:00,128000,Available
3416_8865_23:00,3416,Cosmo Padel,8865,Court 2,2026-09-04,23:00 - 00:00,128000,Available
2906_6677_23:00,2906,Padel Quarter,6677,Elite Court,2026-09-04,23:00 - 00:00,90000,Available
2906_6678_23:00,2906,Padel Quarter,6678,Court 1,2026-09-04,23:00 - 00:00,80000,Booked
